cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-12,0.07692307692307693,0.0,0.0,0.018518518518518517,0.045454545454545456,0.09251101321585903,0.04885057471264368,0.375,0.10483870967741936,0.10236220472440945,0.02857142857142857,0.12060301507537688,0.05,0.0,0.0,0.12121212121212122,0.02857142857142857,0.0,0.0641025641025641,0.09090909090909091,0.0,0.045454545454545456,0.1111111111111111,0.07352941176470588,0.02564102564102564,0.1956521739130435,0.0,0.06818181818181818,0.5,0.07407407407407407,0.10344827586206896,0.050505050505050504,0.0,0.23076923076923078,0.0
-11,0.07692307692307693,0.0,0.0,0.06976744186046512,0.020833333333333332,0.07725321888412018,0.06748466257668712,0.0,0.1523809523809524,0.09420289855072464,0.06976744186046512,0.15151515151515152,0.2631578947368421,0.0,0.0,0.16049382716049382,0.06896551724137931,0.0,0.056179775280898875,0.13333333333333333,0.0,0.08108108108108109,0.05263157894736842,0.075,0.0,0.2222222222222222,0.0,0.052083333333333336,0.47368421052631576,0.0784313725490196,0.08,0.053763440860215055,0.3333333333333333,0.0,0.15384615384615385
-10,0.11904761904761904,0.0,0.0,0.05,0.05128205128205128,0.050682261208576995,0.0711864406779661,0.25,0.13821138211382114,0.102803738317757,0.10256410256410256,0.096045197740113,0.15384615384615385,0.0,0.0,0.09565217391304348,0.08,0.0,0.0684931506849315,0.0,0.0,0.03636363636363636,0.2,0.07,0.13793103448275862,0.24324324324324326,0.0,0.06,0.3950617283950617,0.043478260869565216,0.1111111111111111,0.05660377358490566,0.0,0.1,0.08108108108108109
-9,0.13793103448275862,0.0,0.0,0.0,0.05405405405405406,0.09871244635193133,0.060897435897435896,0.1111111111111111,0.09009009009009009,0.07608695652173914,0.02127659574468085,0.16167664670658682,0.10526315789473684,0.0,0.0,0.10784313725490197,0.0,0.0,0.08256880733944955,0.06666666666666667,0.0,0.11688311688311688,0.19047619047619047,0.10747663551401869,0.09090909090909091,0.24390243902439024,0.0,0.041666666666666664,0.44642857142857145,0.044444444444444446,0.11235955056179775,0.08695652173913043,0.0,0.0,0.07142857142857142
-8,0.06060606060606061,0.0,0.0,0.020833333333333332,0.0,0.09569377990430622,0.03642384105960265,0.18181818181818182,0.14634146341463414,0.10526315789473684,0.05263157894736842,0.13125,0.24,0.0,0.0,0.12871287128712872,0.05555555555555555,0.0,0.06930693069306931,0.0,0.0,0.017241379310344827,0.05,0.10106382978723404,0.0,0.1111111111111111,0.0,0.09411764705882353,0.5,0.05263157894736842,0.041666666666666664,0.014492753623188406,0.125,0.0,0.0
-7,0.029411764705882353,0.021739130434782608,0.0,0.0,0.07692307692307693,0.0975609756097561,0.07006369426751592,0.25,0.12666666666666668,0.09473684210526316,0.07142857142857142,0.15028901734104047,0.09090909090909091,0.0,0.0,0.17647058823529413,0.030303030303030304,0.0,0.07462686567164178,0.0,0.0,0.06666666666666667,0.15789473684210525,0.06944444444444445,0.09090909090909091,0.21052631578947367,0.0,0.07936507936507936,0.5121951219512195,0.05555555555555555,0.09615384615384616,0.07692307692307693,0.2222222222222222,0.15384615384615385,0.0
-6,0.06666666666666667,0.020833333333333332,0.0,0.02631578947368421,0.11363636363636363,0.07720588235294118,0.05413105413105413,0.3333333333333333,0.09929078014184398,0.04310344827586207,0.12121212121212122,0.12060301507537688,0.16279069767441862,0.0,0.0,0.10204081632653061,0.044444444444444446,0.0,0.06329113924050633,0.0,0.0,0.15873015873015872,0.03571428571428571,0.0748663101604278,0.16666666666666666,0.08620689655172414,0.0,0.0625,0.35,0.061224489795918366,0.16494845360824742,0.09210526315789473,0.08333333333333333,0.1875,0.05555555555555555
-5,0.11627906976744186,0.034482758620689655,0.0,0.07142857142857142,0.14285714285714285,0.06147540983606557,0.038834951456310676,0.2727272727272727,0.13725490196078433,0.08974358974358974,0.05,0.13333333333333333,0.034482758620689655,0.0,0.14285714285714285,0.07,0.0196078431372549,0.0,0.12048192771084337,0.125,0.13333333333333333,0.056179775280898875,0.18518518518518517,0.09090909090909091,0.07407407407407407,0.18604651162790697,0.0,0.05,0.4032258064516129,0.03225806451612903,0.0380952380952381,0.0963855421686747,0.23076923076923078,0.125,0.10526315789473684
-4,0.08108108108108109,0.04081632653061224,0.0,0.02127659574468085,0.0,0.06535947712418301,0.04513888888888889,0.25,0.12222222222222222,0.07246376811594203,0.08333333333333333,0.13584905660377358,0.04,0.0,0.0,0.09243697478991597,0.030303030303030304,0.0,0.11458333333333333,0.13333333333333333,0.0,0.075,0.05555555555555555,0.08759124087591241,0.047619047619047616,0.043478260869565216,0.0,0.05309734513274336,0.4230769230769231,0.04477611940298507,0.09259259259259259,0.10843373493975904,0.125,0.0,0.0
-3,0.07692307692307693,0.0,0.2857142857142857,0.02127659574468085,0.038461538461538464,0.06872852233676977,0.08304498269896193,0.0,0.06164383561643835,0.09333333333333334,0.02702702702702703,0.11842105263157894,0.025,0.0,0.0,0.14285714285714285,0.0,0.0,0.04132231404958678,0.0,0.0,0.025974025974025976,0.09090909090909091,0.07806691449814127,0.07142857142857142,0.16216216216216217,0.0,0.05982905982905983,0.43283582089552236,0.06172839506172839,0.07894736842105263,0.07352941176470588,0.0,0.08333333333333333,0.041666666666666664
-2,0.20408163265306123,0.022222222222222223,0.0,0.02857142857142857,0.08823529411764706,0.07167235494880546,0.042071197411003236,0.08333333333333333,0.1111111111111111,0.07407407407407407,0.0625,0.11627906976744186,0.05660377358490566,0.0,0.0,0.16483516483516483,0.021739130434782608,0.0,0.10810810810810811,0.125,0.1111111111111111,0.1111111111111111,0.043478260869565216,0.0755813953488372,0.043478260869565216,0.14285714285714285,0.0,0.08602150537634409,0.3548387096774194,0.034482758620689655,0.08130081300813008,0.042105263157894736,0.07142857142857142,0.07142857142857142,0.14285714285714285
-1,0.1,0.0,0.0,0.047619047619047616,0.07547169811320754,0.09215017064846416,0.05373134328358209,0.2222222222222222,0.1111111111111111,0.08843537414965986,0.07692307692307693,0.12280701754385964,0.02,0.0,0.5,0.18556701030927836,0.023809523809523808,0.0,0.06976744186046512,0.0,0.09090909090909091,0.125,0.1,0.06372549019607843,0.09375,0.16666666666666666,0.3333333333333333,0.044444444444444446,0.4126984126984127,0.08928571428571429,0.04195804195804196,0.08264462809917356,0.18181818181818182,0.0,0.08823529411764706
0,0.1,0.058823529411764705,0.0,0.0,0.02564102564102564,0.05474452554744526,0.0471976401179941,0.15384615384615385,0.10270270270270271,0.08695652173913043,0.05405405405405406,0.13861386138613863,0.0625,0.0,0.0,0.08433734939759036,0.0,0.0,0.07017543859649122,0.125,0.10526315789473684,0.06382978723404255,0.07692307692307693,0.06951871657754011,0.0,0.09803921568627451,0.0,0.08108108108108109,0.40384615384615385,0.0784313725490196,0.09401709401709402,0.05405405405405406,0.0,0.07142857142857142,0.08
1,0.06976744186046512,0.10810810810810811,0.16666666666666666,0.0,0.06818181818181818,0.050505050505050504,0.0471976401179941,0.0,0.07428571428571429,0.07865168539325842,0.02631578947368421,0.16216216216216217,0.06896551724137931,0.0,0.0,0.09615384615384616,0.0,0.0,0.10434782608695652,0.0,0.09523809523809523,0.08571428571428572,0.0,0.07103825136612021,0.047619047619047616,0.13157894736842105,0.16666666666666666,0.1206896551724138,0.48484848484848486,0.046153846153846156,0.08333333333333333,0.06896551724137931,0.06666666666666667,0.06666666666666667,0.029411764705882353
2,0.0967741935483871,0.0,0.0,0.044444444444444446,0.02564102564102564,0.07236842105263158,0.055384615384615386,0.3333333333333333,0.12371134020618557,0.06,0.0,0.1791907514450867,0.03508771929824561,0.0,0.0,0.09016393442622951,0.0,0.0,0.08870967741935484,0.16666666666666666,0.125,0.1206896551724138,0.08333333333333333,0.09248554913294797,0.0625,0.0975609756097561,0.3333333333333333,0.12162162162162163,0.2903225806451613,0.09615384615384616,0.11290322580645161,0.07,0.1,0.07692307692307693,0.1724137931034483
3,0.10256410256410256,0.0,0.0,0.045454545454545456,0.09090909090909091,0.049586776859504134,0.04823151125401929,0.13333333333333333,0.08536585365853659,0.06666666666666667,0.05263157894736842,0.16292134831460675,0.0967741935483871,0.0,0.0,0.09523809523809523,0.09615384615384616,1.0,0.05263157894736842,0.0,0.26666666666666666,0.08641975308641975,0.08,0.08133971291866028,0.08823529411764706,0.10256410256410256,0.0,0.05084745762711865,0.3582089552238806,0.037037037037037035,0.09554140127388536,0.05434782608695652,0.0,0.16666666666666666,0.0
