cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.0022222222222222222,0.003778337531486146,0.0,0.0,0.06756756756756757,0.014804845222072678,0.0075046904315197,0.0,0.018518518518518517,0.0018867924528301887,0.014184397163120567,0.00819672131147541,0.003215434083601286,0.0,0.07142857142857142,0.013157894736842105,0.004878048780487805,0.0,0.01059001512859304,0.0,0.0,0.0,0.0026595744680851063,0.011904761904761904,0.008333333333333333,0.01084010840108401,0.0,0.0,0.005319148936170213,0.011494252873563218,0.01092896174863388,0.005098324836125273,0.01466275659824047,0.0,0.0,
-18,0.01152073732718894,0.0,0.0,0.006211180124223602,0.029850746268656716,0.013062409288824383,0.004464285714285714,0.0,0.02,0.006507592190889371,0.017241379310344827,0.0,0.007017543859649123,0.0,0.0,0.011627906976744186,0.0,,0.008944543828264758,0.0,0.0,0.047619047619047616,0.009036144578313253,0.0,0.0,0.01020408163265306,0.0,0.02564102564102564,0.0380952380952381,0.03821656050955414,0.011560693641618497,0.01077752117013087,0.009708737864077669,0.0,0.0,
-17,0.007481296758104738,0.0013698630136986301,0.0,0.0,0.05454545454545454,0.011182108626198083,0.0022471910112359553,0.0,0.056074766355140186,0.004629629629629629,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.001893939393939394,0.0,0.034482758620689655,0.0,0.0057306590257879654,0.013513513513513514,0.0,0.0028735632183908046,0.0,0.0,0.016129032258064516,0.012658227848101266,0.0,0.008539709649871904,0.004694835680751174,,0.0,
-16,0.00597609561752988,0.0014388489208633094,0.0,0.00546448087431694,0.017241379310344827,0.017167381974248927,0.0022675736961451248,0.0425531914893617,0.01098901098901099,0.006896551724137931,0.007936507936507936,0.008695652173913044,0.0,0.0,0.0,0.0,0.008403361344537815,0.0,0.007054673721340388,0.0,0.015625,0.13333333333333333,0.014084507042253521,0.0,0.0,0.021406727828746176,0.0,0.0,0.017045454545454544,0.012658227848101266,0.012048192771084338,0.00825082508250825,0.004651162790697674,0.0,0.0,
-15,0.0,0.0,0.0,0.004975124378109453,0.03636363636363636,0.010574018126888218,0.004694835680751174,0.0625,0.010416666666666666,0.0022471910112359553,0.009259259259259259,0.009615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.007736943907156673,0.0,0.0,0.0,0.011494252873563218,0.0,0.00909090909090909,0.009404388714733543,0.011494252873563218,0.0,0.010309278350515464,0.006578947368421052,0.006329113924050633,0.013227513227513227,0.0,0.0,0.009009009009009009,
-14,0.005865102639296188,0.006550218340611353,0.0,0.006993006993006993,0.0,0.018518518518518517,0.00847457627118644,0.02631578947368421,0.0273972602739726,0.013317191283292978,0.018691588785046728,0.01154068090017311,0.006944444444444444,0.0,0.0,0.0072992700729927005,0.0022026431718061676,,0.0049261083743842365,0.0,0.0,0.0625,0.01092896174863388,0.0,0.0,0.004405286343612335,0.0,0.0,0.00684931506849315,0.02608695652173913,0.0,0.007494646680942184,0.0016891891891891893,,0.0,
-13,0.0020325203252032522,0.0029498525073746312,0.0,0.0,0.016666666666666666,0.012687427912341407,0.00894187779433681,0.045454545454545456,0.008264462809917356,0.002472187886279357,0.006756756756756757,0.009223674096848577,0.006024096385542169,0.0,0.0,0.0045662100456621,0.005434782608695652,,0.005788712011577424,0.0,0.0,0.0,0.0033003300330033004,0.0,0.0021413276231263384,0.012345679012345678,0.0,0.0,0.010526315789473684,0.017543859649122806,0.0,0.014873140857392825,0.002173913043478261,,0.009345794392523364,0.0
-12,0.00404040404040404,0.003989361702127659,0.0,0.005025125628140704,0.028169014084507043,0.009950248756218905,0.008403361344537815,0.02564102564102564,0.028169014084507043,0.005931198102016607,0.0,0.008169934640522876,0.0,0.0,0.0,0.006644518272425249,0.0,0.0,0.008375209380234505,0.0,0.0,0.0,0.005555555555555556,0.01282051282051282,0.0075,0.005479452054794521,0.008928571428571428,0.0,0.0196078431372549,0.006622516556291391,0.0,0.01073345259391771,0.0025906735751295338,0.0,0.0,0.006920415224913495
-11,0.009174311926605505,0.008253094910591471,0.0,0.0,0.016129032258064516,0.013175230566534914,0.02348993288590604,0.0,0.016574585635359115,0.006622516556291391,0.0,0.007957559681697613,0.0,0.0,0.0,0.0,0.003527336860670194,0.0,0.004338394793926247,0.0,0.0136986301369863,0.0,0.007832898172323759,0.0,0.013123359580052493,0.027522935779816515,0.00847457627118644,0.02127659574468085,0.023696682464454975,0.0,0.0,0.01090909090909091,0.0024509803921568627,0.0,0.0,0.007462686567164179
-10,0.008421052631578947,0.0034782608695652175,0.0,0.0,0.0,0.013435700575815739,0.015463917525773196,0.02040816326530612,0.0273972602739726,0.010484927916120577,0.0,0.0053475935828877,0.0,0.0,0.0,0.01084010840108401,0.0034965034965034965,0.0,0.010526315789473684,0.0,0.008333333333333333,0.0,0.002932551319648094,0.0,0.007772020725388601,0.0,0.0,0.0,0.026905829596412557,0.016216216216216217,0.0,0.00510204081632653,0.005813953488372093,0.025,0.0,0.0
